web-scraper-order,web-scraper-start-url,restaurants,restaurants-href,menu
1554986556-34,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,SuperSubs15 – 25min3.9Good(50+)SaladsSandwichesBreakfastAmerican,https://deliveroo.ie/menu/dublin/dublin-1/supersubs?day=today&time=ASAP,The Club
1554986538-15,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Luigi Malones25 – 35min3.8Good(50+)AmericanPizza,https://deliveroo.ie/menu/dublin/dublin-2/luigi-malones?day=today&time=ASAP,Caesar Salad
1554986580-87,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Five Guys15 – 25min4.3Very good(50+)BurgersAmericanMilkshakesPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/five-guys-ireland?day=today&time=ASAP,Little Bacon Burger
1554986538-10,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Luigi Malones25 – 35min3.8Good(50+)AmericanPizza,https://deliveroo.ie/menu/dublin/dublin-2/luigi-malones?day=today&time=ASAP,Small Nachos with Pulled Pork
1554986533-4,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,The Bold Buffalo18:45Pre-orderAmericanChickenWings,https://deliveroo.ie/menu/dublin/merchants-quay/the-bold-buffalo?day=today&time=1845,Plain Jain
1554986562-53,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bobo's15 – 25min4.2Very good(50+)AmericanBurgers,https://deliveroo.ie/menu/dublin/dublin-1/bobos-abbey-st?day=today&time=ASAP,The Applewood
1554986550-29,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Bondiola Argentina15 – 25min4.4Very good(50+)ArgentinianAmericanSouth american,https://deliveroo.ie/menu/dublin/ballsbridge-d4/bondiola-argentina?day=today&time=ASAP,Set Menu for 4
1554986564-66,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Tuna Pizza
1554986564-60,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,DFC (Dublin Fried Chicken)15 – 25min4.2Very good(50+)AmericanChickenMeal Deals,https://deliveroo.ie/menu/dublin/dublin-1/dfc-dublin-fried-chicken?day=today&time=ASAP,Hawaiian Pizza
1554986572-70,https://deliveroo.ie/restaurants/dublin/international-financial-services-centre?geohash=gc7x3zvfy45g&category=american,Camden Rotisserie15 – 25min4.5Excellent(50+)AmericanBurgersChickenPowerlist,https://deliveroo.ie/menu/dublin/dublin-2/camden-rotisserie?day=today&time=ASAP,Garlic Bread (V)
